Timestamp,Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],weekday,weekend,month,day,CPU usage prev,CPU_diff,received_prev,received_diff,transmitted_prev,transmitted_diff
2013-09-11 23:00:00,8422578079308,17016,45897835.86686371,7286525.022859094,47734.05039682555,52969127767.466675,4980368743.623439,1110074.8642551892,899721.8536019503,565943.4249084251,489553.24798535,12216,0.0,54972,67188,47252.793154762054,481.25724206349133,555241.2630036634,10702.161904761888,480492.4813186833,9060.766666666754
2013-09-12 00:00:00,8422600071102,17016,45897835.87278371,7155719.4872663,47432.84802489186,52970985173.33333,5230650776.206134,1364359.6927239397,1326154.8288711235,500622.41192140966,572387.02027972,18324,0.0,54972,73296,47822.19911616175,-389.3510912698417,492667.93096902926,7954.480952380968,554165.0536130532,18221.966666666605
2013-09-12 01:00:00,8422622062896,17016,45897835.8884117,5499088.821022979,39610.241928210715,52972248219.46669,4796245829.130865,1419024.6999999953,1000707.7747252705,477846.4318681298,466659.0397435915,18324,0.0,54972,73296,40415.895400433015,-805.6534722222245,475837.9985347976,2008.4333333333084,472537.18974359176,-5878.149999999995
2013-09-12 02:00:00,8422644055189,17016,45897835.94107971,4004251.7368374458,32609.41407377352,52972366522.93334,3277180883.40093,980051.5194805175,1203507.662509706,365778.02859362634,454254.6883644164,18324,0.0,54972,73296,32670.03074044014,-60.61666666666777,389603.7952602919,-23825.766666666605,467357.0050310816,-13102.31666666673
2013-09-12 03:00:00,8422666046484,17016,45897836.050007716,4076080.8923314116,32125.390223665356,52973141967.200005,2684977597.302227,701187.7316017298,884535.4969696933,323708.2127872126,410544.00815851154,18324,0.0,54972,73296,31740.462003968354,384.9282196969693,267782.9794538799,55925.23333333334,293641.2414918446,116902.76666666668
2013-09-12 04:00:00,8422688037280,17016,45897836.03574077,6039187.663164054,41614.21236263753,52971297869.33333,4128687281.7662945,859023.6688311687,676903.1047452571,400440.6750083244,273695.2811854858,18324,0.0,54972,73296,41356.62738788999,257.5849747474734,448352.85119879805,-47912.17619047616,395970.4192807244,-122275.13809523816
2013-09-12 05:00:00,8422710025581,17016,45897836.07021175,7325188.101326465,47670.43360320249,52972820091.02856,4720565096.790547,1410508.4833333287,621404.7460317465,362418.77728937595,437132.6717948756,18324,0.0,54972,73296,47257.94749209133,412.48611111111217,368749.7010989006,-6330.923809523796,437765.3003663046,-632.6285714285113
2013-09-12 06:00:00,8422732013383,17016,45897836.026248716,6419684.448839473,40942.25869408376,52972112038.13332,4968665251.267607,1221058.146428568,470731.3063769587,527800.1400599383,274189.1479853512,18324,0.0,54972,73296,41765.56008297276,-823.3013888888893,518388.3097569081,9411.83030303028,268630.8328338358,5558.31515151513
2013-09-12 07:00:00,8408964282632,16997,45844849.89540172,4971905.675451247,34783.31537906545,52925042868.80002,4595631387.051555,510031.6238095238,542573.3453768472,462880.9894993874,400501.4915750935,18294,0.0,54882,73176,35350.49907106794,-567.1836920024426,464810.4864690841,-1929.4969696970868,404595.02894883126,-4093.5373737373498
2013-09-12 08:00:00,8395196537392,16978,45791863.86251374,4363013.074603789,31626.48203046962,52859860932.26668,3497309753.6568136,838050.5018759008,447676.68352758617,406371.82173381763,402076.42287712684,18264,0.0,54792,73056,31550.448338467115,76.03369200244065,414591.62173381954,-8219.800000000017,403037.1562104593,-960.7333333331406
